NRO;ID_ESTABLECIMIENTO;NOMBRE_OFICIAL;COORDENADAS_X;COORDENADAS_Y;RED_DE_ATENCION;INSTITUCION;NIVEL_DE_ATENCION;TIPOLOGIA;CODIGO_PROVINCIA;PROVINCIA;CODIGO_CANTON;CANTON;CODIGO_PARROQUIA;PARROQUIA;HORARIO_DE_ATENCION;AÑO;MES;ATENCIONES_CONSULTA_EXTERNA ;ATENCIONES_EMERGENCIA;EGRESOS_HOSPITALARIO;ATENCIONES_DE_AMBULANCIA;CIRUGIAS;CAMAS_CENSABLES_DOTACION;PROMEDIO_DE_CAMAS_DE_DISP;INDICE_DE_OCUPACION_DE_CAMAS;GIRO_DE_CAMA;% _ABASTECIMIENTO >1MES_GENERAL_MEDIC;%_ABASTECIMIENTO >1MES_ESENCIALES_MEDIC;%_ABASTECIMIENTO >1MES_VITALES_MEDIC;%_ABASTECIMIENTO >1MES_GENERAL_(DISPOSITIVOS_MEDICOS);EJECUCION_PRESUPUESTARIA_PRESUPUESTO_EJECUTADO;EJECUCIÓN PRESUPUESTARIA - PRESUPUESTO ASIGNADO;%_EJECUCION_PRESUPUESTARIA_RESULTADO ((Presupuesto ejecutado / Presupuesto asignado) × 100);INDICE_DE_AUSENTISMO_PACIENTE;NUMERO_DE_PROFESIONALES_ACTUALES_OPERATIVO;NUMERO_DE_PROFESIONALES_ACTUALES_ADMINISTRATIVO;NUMERO_DE_PROFESIONALES_ACTUALES_ESPECIALIDAD;%_INDICE_DE_SATISFACCION_DEL_PACIENTE
185;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Mayo;26657;26028;1841;183;1264;403;394;100%;4,672588832;61,15%;;;73%;3182955003;7,71184E+15;41%;22%;2176;232;;89,96%
186;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Junio;27626;26064;1774;183;1114;403;394;100%;4,502538071;59,96%;;;71%;3,87559E+15;7711842887;50%;24%;2320;233;;89,96%
187;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Julio;30744;29289;1925;190;1267;401;394;100%;4,885786802;55,29%;;;75%;4,38064E+15;7,71184E+15;57%;21%;1790;231;;89,96%
188;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Agosto;29888;28348;1862;292;1249;401;394;99%;4,725888325;54,87%;;;74%;5,02263E+16;8,25943E+15;61%;21%;1784;229;;89,96%
189;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Septiembre;31623;28231;1884;290;1372;401;394;100%;4,781725888;57,64%;;;75%;5581130452;8,52303E+15;65%;21%;1772;226;;89,96%
190;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Octubre;31643;29116;1954;315;1404;401;394;98%;4,959390863;61,74%;;;73%;641883853;8,52303E+15;75%;19%;1774;230;;89,96%
191;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Noviembre;26863;27382;1804;281;1244;401;152;99%;4,578680203;60,57%;;;76%;7,31885E+15;8,52303E+15;86%;20%;1781;229;;89,96%
192;2221040000;HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS;-79,939648;-2,175955;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;9;GUAYAS;901;GUAYAQUIL;90112;TARQUI;00:00 - 24:00;2025;Diciembre;34289;26587;2046;271;1323;401;147,2580645;100%;5,192893401;58,70%;;;80%;;;;21%;1780;227;;89,96%
193;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Enero;17194;18871;606;163;636;158;152;88%;3,986842105;64,48%;;;60%;279091307;38035319;7%;20%;947;139;;89,96%
194;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Febrero;17565;17526;657;116;734;158;152;96%;4,322368421;62,93%;;;64%;8,08781E+15;38035319;21%;20%;949;139;;89,96%
195;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Marzo;15657;21154;638;131;565;158;152;100%;4,197368421;61,46%;;;65%;1,39153E+16;3,80353E+15;37%;22%;949;139;;89,96%
196;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Abril;20097;19437;694;173;731;158;176,4444444;80%;3,93324937;60,98%;;;74%;1660404142;4244180943;39%;19%;951;139;;89,96%
197;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Mayo;20971;19319;705;152;691;158;152;90%;4,638157895;57,69%;;;73%;1,97764E+16;4644550638;43%;19%;958;139;;89,96%
198;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Junio;20385;19305;637;63;697;158;152;94%;4,190789474;57,93%;;;73%;2,36008E+16;4,64455E+16;51%;20%;957;140;;89,96%
199;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Julio;23995;20608;724;166;788;158;152;100%;4,763157895;63,31%;;;77%;2838260979;4,64455E+16;61%;19%;843;140;;89,96%
200;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Agosto;21100;19512;702;259;746;158;152;95%;4,618421053;61,10%;;;80%;3,05622E+16;4644550638;66%;19%;842;129;;89,96%
201;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Septiembre;22617;20848;671;233;756;158;152;94%;4,414473684;60,38%;;;85%;3445235926;4784680197;72%;18%;840;127;;89,96%
202;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Octubre;20008;20071;741;128;659;158;152;100%;4,223034735;61,10%;;;82%;3814909838;4,78468E+16;80%;19%;837;128;;89,96%
203;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Noviembre;17483;18721;599;119;593;158;394;80%;3,940789474;61,34%;;;81%;4,22816E+15;4784680197;88%;17%;838;129;;89,96%
204;2260900000;HOSPITAL GENERAL - MANTA;-80,694490;-0,984799;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1308;MANTA;130802;MANTA;00:00 - 24:00;2025;Diciembre;21133;18838;645;107;597;158;394;92%;4,380065717;61,81%;;;80%;;;;19%;838;129;;89,96%
205;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Enero;16175;13115;487;76;477;135;135;67%;3,607407407;53,48%;;;65%;1,34879E+16;26355583;5%;18%;727;109;;89,96%
206;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Febrero;15457;11612;455;140;394;135;135;78%;3,37037037;53,02%;;;62%;3,9471E+15;27225139;15%;23%;732;110;;89,96%
207;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Marzo;14186;14692;502;119;424;135;135;77%;3,718518519;55,74%;;;65%;6,45511E+15;27225139;24%;23%;733;108;;89,96%
208;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Abril;17615;13061;510;135;469;144;135,6666667;82%;3,759213759;52,96%;;;81%;928287402;27235617;34%;24%;732;109;;89,96%
209;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Mayo;17501;12144;524;160;482;143;142,9677419;72%;3,665162455;50,00%;;;69%;1,15379E+16;3,01236E+16;38%;23%;703;109;;89,96%
210;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Junio;17482;12350;512;220;457;134;133,9333333;85%;3,822797412;47,91%;;;73%;1,43437E+16;3,01236E+16;48%;22%;735;109;;89,96%
211;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Julio;19545;13174;565;221;475;134;128,9032258;89%;4,383133133;44,80%;;;70%;1658870396;3,24848E+16;51%;22%;665;109;;89,96%
212;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Agosto;17953;13302;499;237;497;134;129,8064516;73%;3,844184891;54,19%;;;68%;1,92806E+16;3,24848E+16;59%;19%;666;93;;89,96%
213;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Septiembre;18650;14107;576;191;567;134;131;99%;4,396946565;53,13%;;;67%;2253641588;3,29321E+16;68%;21%;663;90;;89,96%
214;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Octubre;16496;12746;553;190;467;134;131;84%;4,221374046;49,54%;;;63%;2491723691;3,29247E+16;76%;25%;662;92;;89,96%
215;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Noviembre;14514;12512;473;127;374;134;131;78%;3,610687023;48,16%;;;65%;2809548929;3,29247E+16;85%;21%;657;91;;89,96%
216;2261000000;HOSPITAL GENERAL - PORTOVIEJO;-80,471927;-1,044515;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;13;MANABI;1301;PORTOVIEJO;130150;PORTOVIEJO;00:00 - 24:00;2025;Diciembre;17794;12891;483;107;439;134;131;84%;3,687022901;44,16%;;;61%;;;;21%;657;90;;89,96%
217;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Enero;15834;14745;554;243;493;158;155;85%;3,574193548;44,65%;;;62%;177830738;3,17018E+16;6%;22%;913;171;;89,96%
218;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Febrero;15633;12778;558;225;459;158;156,2142857;100%;3,572016461;40,55%;;;59%;4,00148E+16;3,17018E+16;13%;20%;907;170;;89,96%
219;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Marzo;13453;14446;549;226;421;158;157;89%;3,496815287;40,30%;;;57%;6,43477E+15;3,17018E+16;20%;22%;907;170;;89,96%
220;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Abril;15484;14504;547;205;480;158;156,1111111;89%;3,503914591;43,03%;;;57%;8,79578E+15;3539559636;25%;21%;909;170;;89,96%
221;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Mayo;16605;14398;581;190;452;158;155,8387097;100%;3,72821362;48,91%;;;56%;1,20626E+16;3,53892E+16;34%;23%;909;170;;89,96%
222;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Junio;16119;14656;523;181;451;158;147,9333333;100%;3,535376296;53,75%;;;60%;1,44205E+16;3538916226;41%;24%;909;170;;89,96%
223;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Julio;19442;15648;608;120;471;158;150,7741935;100%;4,032520325;55,14%;;;61%;1,71468E+16;3,74794E+16;46%;22%;788;170;;89,96%
224;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Agosto;16445;14864;530;89;429;158;146,516129;93%;3,617349185;56,25%;;;63%;2,03108E+16;3,74794E+16;54%;22%;787;163;;89,96%
225;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Septiembre;17253;14294;569;111;423;158;140,7666667;100%;4,04215013;48,90%;;;68%;2411279091;3746564526;64%;21%;783;160;;89,96%
226;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Octubre;16465;13903;616;120;479;158;145,8666667;99%;4,223034735;42,95%;;;65%;2,73088E+16;3,74656E+15;73%;24%;783;160;;89,96%
227;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Noviembre;14317;13469;533;135;408;158;151,6666667;85%;3,514285714;40,31%;;;63%;3,11779E+16;3,74656E+15;83%;19%;784;157;;89,96%
228;2291300000;HOSPITAL GENERAL - MACHALA;-79,944393;-3,282021;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;7;EL ORO;701;MACHALA;70150;MACHALA;00:00 - 24:00;2025;Diciembre;15433;13543;559;105;379;158;149,9032258;100%;3,72907252;39,38%;;;63%;;;;23%;781;157;;89,96%
229;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Enero;11593;6803;558;65;383;121;121;73%;4,611570248;80,29%;;;85%;1,27531E+16;27653763;5%;18%;616;136;;89,96%
230;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Febrero;11257;6262;578;59;370;121;121;82%;4,776859504;78,55%;;;81%;338086646;2,76538E+16;12%;18%;619;137;;89,96%
231;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Marzo;10535;7226;592;66;362;121;121;84%;4,892561983;75,60%;;;78%;5,91984E+15;2,76352E+16;21%;19%;617;136;;89,96%
232;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Abril;13815;6963;647;47;432;119;120,8518519;85%;5,353662274;67,78%;;;79%;8,18333E+15;2,8378E+16;29%;20%;615;137;;89,96%
233;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Mayo;13401;7262;654;47;452;121;120,8064516;91%;5,413618158;63,59%;;;79%;1,00377E+16;2,94235E+16;34%;20%;613;136;;89,96%
234;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Junio;13586;6752;613;56;427;121;121;87%;5,066115702;60,47%;;;78%;1,18921E+16;2,94235E+16;40%;22%;612;137;;89,96%
235;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Julio;14625;6342;617;70;474;121;121;86%;5,099173554;58,70%;;;80%;1,40959E+16;3,09735E+15;46%;22%;546;135;;89,96%
236;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Agosto;10356;6277;582;75;377;121;121;81%;4,809917355;56,83%;;;81%;1658646659;3,14428E+16;53%;21%;543;126;;89,96%
237;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Septiembre;14547;6461;556;76;383;121;121;92%;4,595041322;56,76%;;;83%;193331117;3,14291E+16;62%;20%;541;125;;89,96%
238;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Octubre;14221;6977;583;88;375;121;121;85%;4,818181818;54,81%;;;84%;2,13135E+16;3,14052E+16;68%;20%;542;124;;89,96%
239;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Noviembre;10709;6101;499;65;336;121;121;74%;4,123966942;51,54%;;;86%;2416996964;3,14052E+16;77%;18%;539;123;;89,96%
240;2370800000;HOSPITAL GENERAL - MANUEL YGNACIO MONTEROS;-79,203255;-3,984524;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;11;LOJA;1101;LOJA;110150;LOJA;00:00 - 24:00;2025;Diciembre;12332;6674;579;44;381;121;121;79%;4,785123967;47,39%;;;85%;;;;20%;537;123;;89,96%
241;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Enero;14886;14747;975;67;588;204;204;80%;4,779411765;75,44%;;;63%;161136176;2,99456E+16;5%;19%;836;163;;89,96%
242;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Febrero;15098;12918;1006;40;639;204;204;94%;4,931372549;81,71%;;;62%;424917696;2,99456E+16;14%;18%;837;161;;89,96%
243;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Marzo;14824;14773;1004;58;604;204;204;89%;4,921568627;80,94%;;;59%;702105005;2,99363E+16;23%;17%;835;160;;89,96%
244;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Abril;15660;13078;989;57;604;204;204;82%;4,848039216;82,39%;;;61%;940062025;2,9963E+16;31%;18%;835;162;;89,96%
245;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Mayo;14827;14731;1039;56;633;204;204;89%;5,093137255;79,06%;;;58%;1239064287;3,17824E+15;39%;18%;809;163;;89,96%
246;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Junio;16298;13926;1030;58;658;204;204;89%;5,049019608;81,38%;;;71%;1,42943E+16;3,17824E+16;45%;18%;844;163;;89,96%
247;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Julio;16997;12072;968;60;632;204;204;79%;4,745098039;76,28%;;;70%;1,68813E+16;3,41907E+15;49%;17%;693;163;;89,96%
248;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Agosto;15072;11924;1030;65;597;204;204;88%;5,049019608;72,95%;;;69%;1,99895E+16;3,41907E+15;58%;17%;692;154;;89,96%
249;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Septiembre;18161;13629;1027;52;664;204;204;85%;5,034313725;66,07%;;;66%;218868175;3,41495E+15;64%;16%;688;154;;89,96%
250;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Octubre;16945;13197;950;45;458;204;204;81%;4,656862745;61,06%;;;62%;2,45176E+16;3,41586E+15;72%;18%;688;153;;89,96%
251;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Noviembre;13195;12299;671;50;254;204;204;65%;3,289215686;60,77%;;;61%;2881693979;3448761426;84%;16%;687;152;;89,96%
252;2440400000;HOSPITAL GENERAL - AMBATO;-78,631658;-1,233598;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;18;TUNGURAHUA;1801;AMBATO;180150;AMBATO;00:00 - 24:00;2025;Diciembre;15701;13953;791;50;313;204;204;70%;3,87745098;59,88%;;;62%;;;;18%;685;151;;89,96%
253;2441200000;HOSPITAL GENERAL - LATACUNGA;-78,614231;-0,941368;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;5;COTOPAXI;501;LATACUNGA;50150;LATACUNGA;00:00 - 24:00;2025;Enero;11083;5988;381;33;213;95;95;54%;4,010526316;63,16%;;;67%;84990251;1690084715;5%;17%;438;80;;89,96%
254;2441200000;HOSPITAL GENERAL - LATACUNGA;-78,614231;-0,941368;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;5;COTOPAXI;501;LATACUNGA;50150;LATACUNGA;00:00 - 24:00;2025;Febrero;11220;5368;362;20;211;95;95;55%;3,810526316;60,20%;;;67%;1,93918E+16;1690084715;11%;16%;438;80;;89,96%
255;2441200000;HOSPITAL GENERAL - LATACUNGA;-78,614231;-0,941368;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;5;COTOPAXI;501;LATACUNGA;50150;LATACUNGA;00:00 - 24:00;2025;Marzo;10639;5963;360;31;206;95;95;57%;3,789473684;55,70%;;;70%;3,14076E+15;1763904715;18%;16%;435;80;;89,96%
256;2441200000;HOSPITAL GENERAL - LATACUNGA;-78,614231;-0,941368;RPIS;IESS;II NIVEL;HOSPITAL GENERAL;5;COTOPAXI;501;LATACUNGA;50150;LATACUNGA;00:00 - 24:00;2025;Abril;11946;5775;360;25;240;95;95;54%;3,789473684;53,25%;;;71%;443567162;1761874385;25%;18%;431;80;;89,96%
